trust_in_ai,ai_reliability,n,eff_delta_mean,eff_delta_se,eff_delta_sd,eff_delta_ci_low,eff_delta_ci_high,share_positive,defect_delta_mean,defect_delta_se,trust_calibration_mean,trust_calibration_se,trust_gap
0.75,0.8,40,2.1496,0.6247,3.9013,0.9251,3.374,0.75,-2.7084,1.2793,95.968,0.4722,-0.05
0.75,0.85,40,2.0184,0.6059,3.7837,0.8309,3.2059,0.65,-4.3403,1.4187,95.561,0.5716,-0.1
0.75,0.9,40,1.5328,0.62,3.872,0.3175,2.748,0.575,-3.882,1.6305,92.976,0.7154,-0.15
0.75,0.95,40,1.967,0.6093,3.805,0.7728,3.1612,0.675,-2.9202,1.5207,89.445,0.7857,-0.2
0.8,0.3,40,0.1202,0.6419,4.0088,-1.138,1.3784,0.55,-1.1388,1.3639,57.512,0.7391,0.5
0.8,0.35,40,-0.0269,0.6871,4.2908,-1.3736,1.3198,0.625,-1.7117,1.5285,61.342,0.7392,0.45
0.8,0.4,40,-0.2013,0.7297,4.5571,-1.6315,1.229,0.45,-0.552,1.5179,65.172,0.7392,0.4
0.8,0.45,40,0.7866,0.6842,4.2729,-0.5544,2.1277,0.55,-1.2569,1.314,69.003,0.7391,0.35
0.8,0.5,40,1.1974,0.7039,4.3956,-0.1822,2.577,0.625,-2.7501,1.541,72.833,0.7391,0.3
0.8,0.55,40,0.6698,0.6655,4.1557,-0.6345,1.9741,0.45,-3.6805,1.4421,76.663,0.7391,0.25
0.8,0.6,40,0.9035,0.6307,3.9389,-0.3327,2.1398,0.575,-2.0036,1.351,80.494,0.7391,0.2
0.8,0.65,40,1.1235,0.6342,3.9604,-0.1194,2.3665,0.6,-1.6008,1.4939,84.324,0.7392,0.15
0.8,0.7,40,1.2997,0.626,3.9091,0.0728,2.5266,0.65,-2.507,1.4732,88.154,0.7391,0.1
0.8,0.75,40,0.9854,0.6018,3.7582,-0.1941,2.1649,0.625,-2.2917,1.2915,91.598,0.6193,0.05
0.8,0.8,40,1.6831,0.6428,4.0146,0.4231,2.9431,0.675,-2.257,1.3142,94.755,0.5386,0.0
0.8,0.85,40,1.7813,0.6483,4.0485,0.5107,3.0519,0.625,-3.6285,1.4466,96.362,0.4586,-0.05
0.8,0.9,40,1.7819,0.5936,3.7069,0.6185,2.9453,0.625,-4.0556,1.6209,95.482,0.5769,-0.1
0.8,0.95,40,1.9494,0.5927,3.7012,0.7877,3.111,0.65,-3.125,1.5502,92.595,0.7133,-0.15
0.85,0.3,40,-0.0504,0.5853,3.6555,-1.1976,1.0969,0.525,-0.1877,1.3458,54.758,0.6636,0.55
0.85,0.35,40,0.356,0.635,3.9654,-0.8886,1.6005,0.575,-0.8646,1.4507,58.588,0.6636,0.5
0.85,0.4,40,-0.369,0.691,4.315,-1.7232,0.9853,0.475,-0.486,1.5392,62.419,0.6636,0.45
0.85,0.45,40,0.6135,0.6739,4.2086,-0.7074,1.9344,0.475,-0.3992,1.3616,66.249,0.6636,0.4
0.85,0.5,40,0.9502,0.7035,4.3935,-0.4287,2.3291,0.575,-0.9723,1.3941,70.08,0.6636,0.35
0.85,0.55,40,1.3489,0.7081,4.4222,-0.039,2.7368,0.575,-3.0833,1.5276,73.91,0.6636,0.3
0.85,0.6,40,1.3603,0.6778,4.2328,0.0319,2.6888,0.575,-2.0556,1.3603,77.74,0.6636,0.25
0.85,0.65,40,1.2331,0.5901,3.6851,0.0765,2.3896,0.6,-1.4723,1.3158,81.57,0.6636,0.2
0.85,0.7,40,1.5687,0.6323,3.9488,0.3293,2.808,0.675,-1.5973,1.2621,85.401,0.6636,0.15
0.85,0.75,40,1.4101,0.6346,3.9632,0.1662,2.6539,0.7,-1.0105,1.3391,89.225,0.6609,0.1
0.85,0.8,40,1.8601,0.6194,3.8684,0.646,3.0742,0.725,-1.9862,1.4312,92.598,0.5197,0.05
0.85,0.85,40,2.1007,0.6649,4.1521,0.7976,3.4038,0.675,-3.7085,1.4175,95.712,0.4655,0.0
0.85,0.9,40,2.0693,0.6406,4.0004,0.8138,3.3248,0.625,-4.125,1.511,96.755,0.4287,-0.05
0.85,0.95,40,2.3901,0.6118,3.8209,1.1909,3.5893,0.7,-3.2604,1.4728,95.084,0.5933,-0.1
0.9,0.3,40,-0.4831,0.725,4.5274,-1.904,0.9379,0.575,-0.7709,1.2938,52.484,0.5747,0.6
0.9,0.35,40,-0.8606,0.6749,4.2147,-2.1834,0.4622,0.45,-0.507,1.1472,56.314,0.5747,0.55
0.9,0.4,40,-0.3998,0.6559,4.0959,-1.6853,0.8857,0.475,-0.9756,1.2485,60.145,0.5747,0.5
0.9,0.45,40,-0.1435,0.7203,4.4985,-1.5554,1.2684,0.5,-0.4721,1.4614,63.975,0.5747,0.45
0.9,0.5,40,0.4522,0.6542,4.0858,-0.8301,1.7345,0.525,-0.6007,1.2565,67.805,0.5747,0.4
0.9,0.55,40,1.7362,0.6864,4.2865,0.3908,3.0815,0.625,-1.9827,1.5713,71.636,0.5746,0.35
0.9,0.6,40,1.2786,0.6467,4.0387,0.011,2.5461,0.55,-3.3784,1.3793,75.466,0.5747,0.3
0.9,0.65,40,1.2823,0.5835,3.6438,0.1387,2.4259,0.65,-2.6424,1.308,79.296,0.5747,0.25
0.9,0.7,40,2.0514,0.5578,3.4833,0.9582,3.1447,0.725,-2.6702,1.1918,83.127,0.5746,0.2
0.9,0.75,40,1.5171,0.6357,3.97,0.2711,2.7631,0.65,-0.9931,1.2716,86.957,0.5747,0.15
0.9,0.8,40,1.6415,0.6056,3.7819,0.4545,2.8285,0.725,-1.2951,1.4156,90.743,0.5559,0.1
0.9,0.85,40,1.8526,0.647,4.0407,0.5844,3.1208,0.675,-3.0071,1.4269,94.061,0.4106,0.05
0.9,0.9,40,1.9222,0.6379,3.9834,0.672,3.1724,0.625,-3.6216,1.4498,96.885,0.3784,0.0
0.9,0.95,40,2.4532,0.5959,3.7214,1.2853,3.6212,0.725,-3.2778,1.4373,96.814,0.4506,-0.05
0.95,0.3,40,-0.0469,0.6389,3.9896,-1.299,1.2053,0.6,-1.3437,1.1697,50.715,0.4857,0.65
0.95,0.35,40,-0.4288,0.6288,3.9267,-1.6612,0.8036,0.45,-0.6077,1.164,54.545,0.4857,0.6
0.95,0.4,40,-0.0647,0.6368,3.9767,-1.3128,1.1834,0.5,-1.8194,1.2586,58.375,0.4857,0.55
0.95,0.45,40,-0.2489,0.6801,4.2475,-1.582,1.0842,0.425,-1.1492,1.37,62.206,0.4857,0.5
0.95,0.5,40,-0.073,0.6664,4.1618,-1.3792,1.2332,0.425,-0.427,1.36,66.036,0.4857,0.45
0.95,0.55,40,1.2347,0.7629,4.7643,-0.2606,2.7299,0.575,-2.4896,1.4018,69.866,0.4857,0.4
0.95,0.6,40,1.6009,0.6788,4.2388,0.2705,2.9312,0.55,-3.0591,1.4302,73.696,0.4857,0.35
0.95,0.65,40,1.1666,0.6382,3.9858,-0.0843,2.4176,0.65,-2.5209,1.3488,77.527,0.4857,0.3
0.95,0.7,40,1.7684,0.6217,3.8827,0.5498,2.987,0.65,-1.8021,1.3438,81.357,0.4857,0.25
0.95,0.75,40,1.4707,0.6083,3.7986,0.2785,2.6629,0.65,-0.9618,1.34,85.188,0.4857,0.2
0.95,0.8,40,1.694,0.6044,3.7744,0.5094,2.8786,0.7,-1.0729,1.4593,89.018,0.4857,0.15
0.95,0.85,40,2.0172,0.6608,4.1266,0.722,3.3123,0.7,-2.6667,1.4273,92.728,0.4374,0.1
0.95,0.9,40,2.063,0.6515,4.0687,0.786,3.34,0.65,-3.625,1.4957,95.927,0.3057,0.05
0.95,0.95,40,2.3814,0.5799,3.6216,1.2447,3.518,0.725,-3.434,1.481,97.784,0.3415,0.0
